miRBase cluster	Algorithm cluster
mir-3202	mir-3202-2
mir-2076	mir-2070
uc_gga-mir-6698	uc_gga-mir-6698
uc_gma-MIR9728	uc_gma-MIR9728
uc_oan-mir-1345	uc_oan-mir-1345
uc_gma-MIR4341	MIR5523
uc_bta-mir-2311	uc_bta-mir-2311
uc_gga-mir-1595	uc_gga-mir-1595
uc_sja-mir-3498	uc_sja-mir-3498
uc_bta-mir-2364	uc_bta-mir-2364
uc_bta-mir-2889	mir-2889
mir-2686	mir-4178
uc_efu-mir-9278	MIR5380
uc_mmu-mir-7073	uc_mmu-mir-7073
uc_gma-MIR9747	MIR6164
uc_osa-MIR5820	uc_osa-MIR5820
uc_hsa-mir-6082	uc_hsa-mir-6082
uc_ppc-mir-2252	uc_ppc-mir-2252
uc_sma-mir-8464	uc_sma-mir-8464
uc_gma-MIR4357	uc_gma-MIR4357
MIR163	MIR163
uc_dev-mir-D10	uc_dev-mir-D10
uc_cin-mir-4000c	uc_cin-mir-4000c
uc_gga-mir-1586	uc_gga-mir-1586
uc_mmu-mir-6926	uc_mmu-mir-6926
uc_tca-mir-3812	uc_tca-mir-3812
uc_osa-MIR1876	uc_osa-MIR1876
mir-540	mir-540
uc_mcmv-mir-M55-1	uc_mcmv-mir-M55-1
uc_mmu-mir-6990	uc_mmu-mir-6990
uc_ppc-mir-8326	uc_ppc-mir-8326
uc_bta-mir-2425	mir-7047
uc_oan-mir-7431	uc_oan-mir-7431
uc_gma-MIR5669	uc_gma-MIR5669
uc_mmu-mir-6978	uc_mmu-mir-6978
uc_bta-mir-2893	uc_bta-mir-2893
uc_ath-MIR8180	mir-4961
uc_pma-mir-4607	mir-4607
uc_ame-mir-3796	uc_ame-mir-3796
uc_rno-mir-349	uc_rno-mir-349
uc_hsa-mir-4424	uc_hsa-mir-4424
uc_hsa-mir-4700	uc_hsa-mir-4700
uc_mmu-mir-696	uc_mmu-mir-696
uc_sme-mir-746	uc_sme-mir-746
uc_hsv2-mir-H9	uc_hsv2-mir-H9
mir-3117	mir-3117
uc_ppc-mir-8219	uc_ppc-mir-8219
uc_hsa-mir-6076	uc_hsa-mir-6076
uc_gga-mir-3534	uc_gga-mir-3534
uc_ppt-MIR1045	uc_ppt-MIR1045
uc_sme-mir-2178	MIR418
uc_hsa-mir-7108	mir-M87-1
uc_mtr-MIR5758	uc_mtr-MIR5758
uc_hsa-mir-5698	uc_hsa-mir-5698
uc_hsa-mir-3152	uc_hsa-mir-3152
mir-1744	mir-1744
uc_hsa-mir-6757	mir-9248
uc_pma-mir-4552	uc_pma-mir-4552
uc_hsa-mir-6512	uc_hsa-mir-6512
uc_hsa-mir-5195	uc_hsa-mir-5195
uc_hsa-mir-7151	uc_hsa-mir-7151
uc_bmo-mir-2798	uc_bmo-mir-2798
uc_gga-mir-1783	uc_gga-mir-1783
uc_hsa-mir-6509	uc_hsa-mir-6509
uc_crm-mir-7602	uc_crm-mir-7602
uc_ptc-MIR6467	uc_ptc-MIR6467
uc_bma-mir-5860	uc_bma-mir-5860
uc_gma-MIR5375	uc_gma-MIR5375
uc_mmu-mir-5619	uc_mmu-mir-5619
mir-4791	mir-4791
uc_pma-mir-4587	uc_pma-mir-4587
uc_hsa-mir-6781	uc_hsa-mir-6781
uc_dsi-mir-2578	mir-4838
uc_bta-mir-2461	uc_bta-mir-2461
uc_gga-mir-1774	uc_gga-mir-1774
uc_bmo-mir-2841	uc_bmo-mir-2841
uc_mmu-mir-3069	uc_mmu-mir-3069
uc_cin-mir-4180	uc_cin-mir-4180
uc_hsa-mir-6885	uc_hsa-mir-6885
uc_eca-mir-9143	uc_eca-mir-9143
uc_hsa-mir-3924	uc_hsa-mir-3924
uc_hco-mir-5932	uc_hco-mir-5932
uc_sbi-MIR5566	uc_sbi-MIR5566
uc_str-mir-8394	uc_str-mir-8394
uc_pma-mir-4566	uc_pma-mir-4566
uc_bdi-MIR7775	MIR9783
uc_efu-mir-9296	uc_efu-mir-9296
uc_mmu-mir-1967	uc_mmu-mir-1967
uc_hsa-mir-5572	uc_hsa-mir-5572
uc_cfa-mir-8853	mir-8976
uc_cel-mir-8200	uc_cel-mir-8200
uc_hsa-mir-4457	uc_hsa-mir-4457
uc_pma-mir-4571	MIR862
uc_mmu-mir-6362	uc_mmu-mir-6362
uc_cre-MIR1158	mir-9153
uc_hvu-MIR6194	uc_hvu-MIR6194
uc_hsa-mir-6772	uc_hsa-mir-6772
uc_ath-MIR5016	MIR8663
uc_mmu-mir-6986	uc_mmu-mir-6986
uc_gma-MIR4995	uc_gma-MIR4995
uc_eca-mir-9164	uc_eca-mir-9164
uc_nve-mir-9459	uc_nve-mir-9459
uc_cin-mir-4030	uc_cin-mir-4030
uc_cin-mir-5600	uc_cin-mir-5600
uc_ddi-mir-7102	mir-7102
mir-7883	mir-7883
uc_bmo-mir-3000	uc_bmo-mir-3000
uc_oan-mir-7434	uc_oan-mir-7434
uc_mdo-mir-1548	uc_mdo-mir-1548
uc_rrv-miR-rR1-6	uc_rrv-miR-rR1-6
uc_bdi-MIR7770	uc_bdi-MIR7770
uc_cbn-mir-7620a	uc_cbn-mir-7620a
uc_hsa-mir-4690	uc_hsa-mir-4690
uc_ath-MIR5656	uc_ath-MIR5656
uc_hsa-mir-4258	mir-9337
uc_asu-mir-5350a	uc_asu-mir-5350a
uc_egr-mir-4991	uc_egr-mir-4991
uc_sme-mir-2151	uc_sme-mir-2151
uc_cin-mir-4062	uc_cin-mir-4062
